PLAYER,TEAM,AGE,TOTAL_FGA,D_FGM00,D_FGA00,D_FGP00,D_FGM05,D_FGA05,D_FGP05,D_FGM10,D_FGA10,D_FGP10,D_FGM15,D_FGA15,D_FGP15,D_FGM20,D_FGA20,D_FGP20,D_FGM25,D_FGA25,D_FGP25,Z_FGM01,Z_FGA01,Z_FGP01,Z_FGM02,Z_FGA02,Z_FGP02,Z_FGM03,Z_FGA03,Z_FGP03,Z_FGM04,Z_FGA04,Z_FGP04,Z_FGM05,Z_FGA05,Z_FGP05,Z_FGM06,Z_FGA06,Z_FGP06,Z_FGM07,Z_FGA07,Z_FGP07
Fred VanVleet,TOR,27,696,80,173,46.2,10,38,26.3,17,42,40.5,22,47,46.8,36,105,34.3,111,291,38.1,76,151,50.3,28,86,32.6,34,92,37,5,24,20.8,6,16,37.5,11,40,27.5,136,353,38.5
Furkan Korkmaz,PHI,23,286,30,53,56.6,3,16,18.8,6,15,40,9,24,37.5,24,66,36.4,41,112,36.6,30,50,60,6,26,23.1,14,40,35,9,27,33.3,12,22,54.5,21,49,42.9,42,124,33.9
Garrett Temple,CHI,34,263,41,69,59.4,8,14,57.1,10,24,41.7,5,13,38.5,34,95,35.8,14,48,29.2,40,67,59.7,13,28,46.4,13,32,40.6,13,37,35.1,10,32,31.3,23,69,33.3,23,68,33.8
Gary Trent Jr.,TOR,22,608,50,87,57.5,13,38,34.2,22,52,42.3,23,63,36.5,58,145,40,89,223,39.9,46,78,59,29,75,38.7,42,111,37.8,17,39,43.6,13,32,40.6,30,71,42.3,109,275,39.6
Georges Niang,UTA,27,228,14,24,58.3,11,16,68.8,6,21,28.6,0,0,0,35,85,41.2,32,82,39,12,21,57.1,16,33,48.5,4,9,44.4,19,40,47.5,8,25,32,27,65,41.5,39,101,38.6
Giannis Antetokounmpo,MIL,26,826,349,452,77.2,31,96,32.3,15,51,29.4,16,49,32.7,14,32,43.8,43,146,29.5,333,418,79.7,48,138,34.8,36,104,34.6,3,5,60,0,3,0,3,8,37.5,48,161,29.8
Goran Dragic,MIA,34,338,54,94,57.4,13,33,39.4,26,48,54.2,6,20,30,17,34,50,35,109,32.1,52,86,60.5,29,62,46.8,20,51,39.2,8,13,61.5,3,5,60,11,18,61.1,39,123,31.7
Gordon Hayward,CHA,31,658,109,173,63,36,97,37.1,43,94,45.7,33,69,47.8,39,86,45.3,51,139,36.7,101,160,63.1,67,156,42.9,58,137,42.3,8,15,53.3,15,21,71.4,23,36,63.9,62,169,36.7
Grayson Allen,MEM,25,265,19,31,61.3,11,27,40.7,7,21,33.3,0,3,0,24,67,35.8,51,116,44,19,28,67.9,15,43,34.9,4,14,28.6,9,22,40.9,4,16,25,13,38,34.2,61,142,43
Hamidou Diallo,DET,22,338,112,184,60.9,17,39,43.6,8,30,26.7,10,28,35.7,9,28,32.1,10,29,34.5,100,161,62.1,34,82,41.5,16,46,34.8,2,10,20,5,8,62.5,7,18,38.9,10,33,30.3
Harrison Barnes,SAC,28,519,144,228,63.2,34,75,45.3,7,18,38.9,1,3,33.3,30,85,35.3,41,110,37.3,136,201,67.7,43,105,41,7,19,36.8,12,25,48,12,28,42.9,24,53,45.3,47,143,32.9
Immanuel Quickley,NYK,21,437,23,41,56.1,30,79,38,23,68,33.8,7,24,29.2,25,56,44.6,60,169,35.5,17,28,60.7,52,138,37.7,20,57,35.1,1,9,11.1,6,11,54.5,7,20,35,78,210,37.1
Isaac Okoro,CLE,20,315,90,159,56.6,5,26,19.2,0,4,0,0,1,0,25,76,32.9,14,49,28.6,86,146,58.9,9,40,22.5,0,5,0,7,23,30.4,15,35,42.9,22,58,37.9,17,67,25.4
Isaiah Roby,OKC,23,292,105,174,60.3,16,34,47.1,3,10,30,0,3,0,11,23,47.8,12,48,25,97,157,61.8,27,58,46.6,2,10,20,4,8,50,2,5,40,6,13,46.2,15,54,27.8
Isaiah Stewart,DET,19,237,91,152,59.9,16,30,53.3,9,19,47.4,6,9,66.7,0,6,0,10,21,47.6,84,139,60.4,27,52,51.9,11,22,50,0,1,0,0,1,0,0,2,0,10,22,45.5
Ivica Zubac,LAC,24,266,156,232,67.2,12,26,46.2,1,3,33.3,2,4,50,0,0,0,0,1,0,149,216,69,20,45,44.4,2,4,50,0,0,0,0,0,0,0,0,-,0,2,0
Ja Morant,MEM,21,589,149,253,58.9,43,116,37.1,34,75,45.3,4,15,26.7,6,22,27.3,27,108,25,139,225,61.8,74,195,37.9,17,41,41.5,0,3,0,2,7,28.6,2,10,20,33,127,26
Jaden McDaniels,MIN,20,250,39,66,59.1,13,27,48.1,4,11,36.4,2,9,22.2,33,82,40.2,19,55,34.5,38,60,63.3,15,36,41.7,7,23,30.4,16,32,50,7,22,31.8,23,54,42.6,27,77,35.1
